isbn13,isbn10,title,subtitle,authors,categories,description,published_year,average_rating,num_pages,ratings_count
978000648614,0006486142,well of darkness,,margaret weistracy hickman,,gareth is just a frightened young lad when he is drafted in to be the whippingboy for the unruly prince dagnarus yet as they grow to be men an unshakable bond is formed and it is their destiny for them to become the two most powerful  and feared  men in the kingdom but when dagnarus decides to become a knight himself he begins a chain of evil events that threaten to destroy the entire kingdom only by uniting the sovereign stone can peace be restored and it is up to dagnarus brother helmos to try to achieve this impossible task using his fathers soldiers against his brothers army all the while gareth is gaining mastery over the sinister void magic and he is devoted to helping his childhood companion this gripping story of magical power and corruption takes the unique viewpoint of focusing on the evil characters as we follow them from boys to men filled with action suspense and wonderfully imaginative characters water from the well of darkness is set to elevate the careers of bestselling authors weis  hickman to spectacular new heights,2001.0,3.66,599.0,68.0
978000649045,000649045X,witness for the prosecution  selected plays,,agatha christie,english drama,newlyjacketed edition designed to celebrate the 50th anniversary of christie s faultlessly plotted witness for the prosecution and other outstanding plays the perfect complement to the latest edition of the mousetrap and selected plays 50th aniversary edition headlining this book is witness for the prosecution christie s highly successful stage play which won the new york drama critics circle award for best foreign play a stunning courtroom drama it tells the story of a scheming wife testifying against her husband in a shocking murder trial the wild beauty of a seaside house perched high on the devonshire river tern provides a stunning backdrop in towards zero as a psychopathic murderer homes in on the unsuspecting victims passion murder and love are the deadly ingredients in verdict making it one of christie s more unusual thrillers and prompting her to label it the best play i have written with the exception of witness for the prosecution  go back for murder tells the story of the young and feisty carla who orphaned at the tender age of five discovers her mother was imprisioned for murdering her father and determines to prove her innocence,1995.0,4.05,352.0,3908.0
978000649643,0006496431,the little house,,philippa gregory,country life,it was easy for elizabeth she married the man she loved it was harder for ruth she married elizabeths son and then found that somehow she could never quite measure up this thriller examines what women want and what they fear as ruth confronts the shifting borders of her own sanity,1998.0,3.66,368.0,1832.0
978000649687,0006496873,mystical paths,,susan howatch,english fiction,1968 finds nicholas darrow wrestling with personal problems how can he marry rosalind when he is unable to avoid promiscuity how can he become a priest when he finds it so difficult to live as one and can he break his dangerous dependence on his father,1996.0,4.23,576.0,1023.0
978000649689,000649689X,glittering images,,susan howatch,english fiction,it is 1937 and charles ashworth a canon to the archbishop of canterbury is sent to untangle a web of selfdelusion and corruption at the episcopal palace of the charismatic bishop of starbridge,1996.0,4.07,512.0,2045.0
978000649692,000649692X,glamorous powers,,susan howatch,clergy,reissue of the authors most famous and wellloved work the starbridge series six selfcontained yet interconnected novels that explore the history of the church of england through the 20th century,1996.0,4.2,512.0,1441.0
978000649886,0006498868,the mad ship,,robin hobb,fantasy fiction,fantasy master robin hobb delivers the stunning second volume of her liveship traders trilogy returning to the timeless city of bingtown where pirates now plague the coasts and the dreaded slave trade flourishes althea vestrit doesnt have time to be afraid for her familys newly awakened liveship vivacia has been seized by the ruthless pirate kennit so althea hatches a bold plan but to carry it out she must recruit a liveship that has already slain two crews  and is said to be insane,2000.0,4.24,906.0,36101.0
978000649916,0006499163,post captain,,patrick obrian,aubrey jack fictitious character,this tale begins with jack aubrey arriving home from his exploits in the mediterranean to find england at peace following the treaty of amiens he and his friend stephen maturin surgeon and secret agent begin to live the lives of country gentlemen hunting entertaining and enjoying more amorous adventures their comfortable existence however is cut short when jack is overnight reduced to a pauper with enough debts to keep him in prison for life he flees to the continent to seek refuge instead he finds himself a hunted fugitive as napoleon has ordered the internment of all englishmen in france aubreys adventures in escaping from france and the debtors prison will grip the reader as fast as his unequalled actions at sea,1996.0,4.29,474.0,7815.0
978000649926,0006499260,the reverse of the medal,,patrick obrian,adventure stories,in this book jack aubrey returns from his duties protecting whalers off the south american coast and is persuaded by a casual acquaintance to make investments in the city on the strength of supposedly certain information from there he is led into the halfworlds of the london criminal underground and of government espionage  the province of his friend stephen maturin,1997.0,4.41,261.0,177.0
978000649962,0006499627,miss marple,The Complete Short Stories,agatha christie,detective and mystery stories english,miss marple featured in 20 short stories published in a number of different collections in britain and america presented here in their order of publication miss marple uses her unique insight to deduce the truth about a series of unsolved crimes,1997.0,4.2,359.0,6235.0
978000651148,0006511481,the years of rice and salt,,kim stanley robinson,black death,hailed by the new york times book review as eyeopening  this alternative history of the last 600 years begins as the black death kills nearly everyone in europe and china india and the nations of islam now control the world,2003.0,3.73,772.0,194.0
978000651267,0006512674,spares,,michael marshall smith,human cloning,spares  human clones the ultimate health insurance an eye for an eye  but some people are doing all the taking the story of jack randall burntout dropped out and way overdrawn at the luck bank but as caretaker on a spares farm he still has a choice and it might make a difference,1998.0,4.13,317.0,2481.0
