isbn13,isbn10,title,subtitle,authors,categories,description,published_year,average_rating,num_pages,ratings_count
978006051913,0060519134,savannah blues,A Novel,mary kay andrews,fiction,landing a catch like talmadge evans iii got eloise weezie foley a jewel of a town house in savannahs historic district divorcing tal got her exiled to the backyard carriage house where she has launched a spitefest with tals new fiance the elegant caroline desantos an antiques picker weezie combs savannahs steamy back alleys and garage sales for treasures when shes not dealing with her loopy relatives or her hunky exboyfriend but an unauthorized sneak preview at a sale lands weezie smack in the middle of magnoliascented murder mayhemand more dirty deals simmer all around herjust as her relationship with the cutest chef in town heats up and she finds out how delicious love can be the second time around,2003.0,3.98,404.0,15417.0
978006052122,0060521228,the whipping boy,,sid fleischman,juvenile fiction,a prince and a pauper jemmy once a poor boy living on the streets now lives in a castle as the whipping boy he bears the punishment when prince brat misbehaves for it is forbidden to spank thrash or whack the heir to the throne the two boys have nothing in common and even less reason to like one another but when they find themselves taken hostage after running away they are left with no choice but to trust each other,2003.0,3.56,90.0,19910.0
978006052199,0060521996,the innovators dilemma,The Revolutionary Book that Will Change the Way You Do Business,clayton m christensen,business  economics,in this revolutionary bestseller harvard professor clayton m christensen says outstanding companies can do everything right and still lose their market leadership  or worse disappear completely and he not only proves what he says he tells others how to avoid a similar fate focusing on disruptive technology  the honda super cub intels 8088 processor or the hydraulic excavator for example  christensen shows why most companies miss the next great wave whether in electronics or retailing a successful company with established products will get pushed aside unless managers know when to abandon traditional business practices using the lessons of successes and failures from leading companies the innovators dilemma presents a set of rules for capitalizing on the phenomenon of disruptive innovation find out when it is right not to listen to customers when to invest in developing lowerperformance products that promise lower margins when to pursue small markets at the expense of seemingly larger and more lucrative ones sharp cogent and provocative the innovators dilemma is one of the most talkedabout books of our time  and one no savvy manager or entrepreneur should be without,2003.0,3.99,286.0,28568.0
978006052493,0060524936,a nose for murder,,lee charles kelley,fiction,former copturneddog trainer jack field is called in when the body of allison demarco is found on her kitchen floor accompanied by her highstrung airedale ginger and must enlist his special skills to find out what happened since ginger appears to be the only witness to the crime original,2003.0,3.47,267.0,93.0
978006052510,006052510X,happiness,A Novel,will ferguson,fiction,why would there be a contract out on edwin de valus life edwin  the wiry lowlevel editor at panderic press why has rage disappeared from the roads and mcdonalds gone alfalfa how come everyone seems so damn happy and most importantly who or what is tupak soiree when an enormous selfhelp manuscript lands on edwins desk its headed for the trash edwins cynicism of selfhelp books coupled with his filthy mood that morning results in him dismissing tupak soirees what i learned on the mountain and using it as a doorstop however tupaks manuscript is unique  a selfhelp book that actually works before edwin knows it a chain of events begins that affects not only his own life but the world at large for those who choke on chicken soup for the soul or have choice words for dr phil will ferguson offers up a killer dose of happiness  a masterpiece of comic fiction,2003.0,3.78,320.0,2191.0
978006052511,0060525118,size 12 is not fat,A Heather Wells Mystery,meg cabot,fiction,former pop star heather wells has left behind hordes of screaming fans to settle into a new adult life but when strange things start happening at her college she finds herself once again in the spotlight this time starring as a spunky female detective original 100000 first printing,2006.0,3.74,345.0,73592.0
978006052798,0060527986,warrior of the light,A Manual,paulo coelho,fiction,warrior of the light a manual is an inspirational companion to the alchemist an international bestseller that has beguiled millions of readers around the world every short passage invites us to live out our dreams to embrace the uncertainty of life and to rise to our own unique destiny in his inimitable style paulo coelho helps bring out the warrior of the light within each of us he also shows readers how to embark upon the way of the warrior the one who appreciates the miracle of being alive the one who accepts failure and the one whose quest leads him to become the person he wants to be paulo coelho is one of the most beloved storytellers of our time now in the longawaited companion to his first novel coelho presents a collection of philosophical stories that will delight and guide seekers everywhere,2004.0,3.7,142.0,21578.0
978006052799,0060527994,the devil and miss prym,A Novel of Temptation,paulo coelho,fiction,a community devoured by greed cowardice and fear a man persecuted by the ghosts of his painful past a young woman searching for happiness in one eventful week each will face questions of life death and power and each will choose a path will they choose good or evil in the remote village of viscos  a village too small to be on any map a place where time seems to stand still  a stranger arrives carrying with him a backpack containing a notebook and eleven gold bars he comes searching for the answer to a question that torments him are human beings in essence good or evil in welcoming the mysterious foreigner the whole village becomes an accomplice to his sophisticated plot which will forever mark their lives paulo coelhos stunning novel explores the timeless struggle between good and evil and brings to our everyday dilemmas fresh perspective incentive to master the fear that prevents us from following our dreams from being different from truly living the devil and miss prym is a story charged with emotion in which the integrity of being human meets a terrifying test,2006.0,3.6,205.0,46113.0
978006052957,0060529571,the big bing,"Black Holes of Time Management, Gaseous Executive Bodies, Exploding Careers, and Other Theories on the Origins of the Business Universe",stanley bing,business  economics,a corporate moleseye view of the society in which we all live and toil creating one of the most entertaining thought provoking and just plain funny bodies of work in contemporary letters stanley bing knows whereof he speaks he has lived the last two decades working inside a gigantic multinational corporation kicking and screaming all the way up the ladder he has seen it all  mergers acquisitions layoffs the death of the threemartini lunch  and has himself been painfully reengineered a number of times he has eaten and drunk way too much stayed in hotels far too good for him waited for limousines in the pouring rain and enjoyed it all sort of most importantly bing has seen management at its best and worst and has practiced both as he made the transition from an inexperienced player who hated pompous senior management to a polished strategist who kind of sees its point of view now and then in one essential volume here is all you need to know to master your career your life and when necessary other weaker life forms,2006.0,3.08,368.0,26.0
978006053104,0060531045,one hundred years of solitude,,gabriel garcia marquez,fiction,one of the 20th centurys enduring works one hundred years of solitude is a widely beloved and acclaimed novel known throughout the world and the ultimate achievement in a nobel prizewinning career the novel tells the story of the rise and fall of the mythical town of macondo through the history of the buenda family it is a rich and brilliant chronicle of life and death and the tragicomedy of humankind in the noble ridiculous beautiful and tawdry story of the buenda family one sees all of humanity just as in the history myths growth and decay of macondo one sees all of latin america love and lust war and revolution riches and poverty youth and senility  the variety of life the endlessness of death the search for peace and truth  these universal themes dominate the novel whether he is describing an affair of passion or the voracity of capitalism and the corruption of government gabriel garca mrquez always writes with the simplicity ease and purity that are the mark of a master alternately reverential and comical one hundred years of solitude weaves the political personal and spiritual to bring a new consciousness to storytelling translated into dozens of languages this stunning work is no less than an accounting of the history of the human race,2003.0,4.06,417.0,547207.0
978006053511,0060535113,walt whitman,A Life,justin kaplan,biography  autobiography,whitmans genius passions poetry and androgynous sensibility entwined to create an exuberant life amid the turbulent american midnineteenth century in vivid detail kaplan examines the mysterious selves of the enigmatic man who celebrated the freedom and dignity of the individual and sang the praises of democracy and the brotherhood of man,2003.0,3.99,464.0,210.0
978006053909,0060539097,how to make love like a porn star,A Cautionary Tale,jenna jamesonneil strauss,biography  autobiography,when the stewardess brought me off the plane in a wheelchair i lowered my head i was too scared to even look at my father i didnt want to see the disappointment and horror on his face all that hate i had accumulated for him over the years all the resentment against him for not understanding what i was going through just released with the tears so where are your parents the stewardess asked me after a few minutes i cant wait here with you much longer i looked up and wiped my eyes my father was standing ten feet away he didnt even recognize me in the underbelly of las vegas a cesspool of warring biker gangs and seedy strip clubs transformed the gawky bracefaced jenna massoli into the bombshell jenna jameson today jenna jameson is the biggest star in the history of adult movies consistently ranked as one of the most beautiful women alive but behind the glamour and the meteoric rise to fame was a path paved with tragedy and heartbreak as a teenager drawn into a chaotic world ruled by rape abuse and murder jenna plunged into a downward spiral of addiction even as she became one of the most photographed women in adult magazines determined to overcome this past jenna rebounded in the adultfilm business where she encountered sadistic directors experienced lovers of both sexes amorous celebrities from howard stern to marilyn manson to tommy lee bitter rival starlets and finally glory as she went on to become the biggest porn star the world has ever seen but her struggle for happiness did not end when the accolades began for years she wrestled with her resentment at her estranged father the loneliness of growing up from the age of two without a mother and her enduring childhood desire to find a man who could give her the security and love she never had her unforgettable memoir is many things at once a shocking sexual history an insiders guide to the secret workings of the billiondollar adultfilm industry and a gripping thriller that probes deep into jennas dark past an unparalleled exploration of sexual freedom how to make love like a porn star ventures far beyond the flesh into the heartshredding tragedies and adrenalinepumping triumphs of a woman who has already lived a hundred lifetimes always witty and humorous even as she faces the demons of her past jenna offers hilarious anecdotes about one of the most controversial businesses in history and shares outrageous advice including her ten commandments of dating and sex how to become a suitcase pimp and how to make it in the business as a female or a male add to this neverbeforeseen photographs from jennas private collection and others taken exclusively for this book and the result is certain to be one of the most talkedabout books of the year,2004.0,3.75,592.0,10211.0
978006053925,0060539259,the outsider,,richard wright,fiction,cross damon trapped within his own blackness flees from chicagos south side to harlem where he joins the communist party,1953.0,4.16,672.0,1736.0
978006054094,006054094X,1421,The Year China Discovered America,gavin menzies,history,based on 15 years of indepth research 1421 traces the voyages of an extraordinary fleet of chinese ships whose crews actually charted america 70 years before columbus four 8page color inserts 37 maps  diagrams,2004.0,3.59,650.0,11289.0
978006054181,0060541814,the andromeda strain,,michael crichton,fiction,a team of scientists struggles to define and contain a deadly bacteria brought back from outer space by a satellite,2003.0,3.89,327.0,192637.0
978006054183,0060541830,congo,,michael crichton,fiction,armed with the latest gifts of advanced technology a california scientist a ruthless corporation agent and a mercenary hunter face the dangers of the congo jungle in search of the diamonds of the lost city of zinj reprint,2003.0,3.58,442.0,140223.0
978006054188,0060541881,johnny and the dead,,terry pratchett,juvenile fiction,after twelveyearold johnny maxwell suddenly starts seeing and talking to ghosts he and his friends become involved in a battle to save the local cemetery,2006.0,3.78,213.0,7733.0
978006054238,0060542381,amelia bedelia 40th anniversary collection,,peggy parish,juvenile fiction,everyones favorite literalminded housekeeper amelia bedelia celebrates her 40th anniversary in a threebook i can read box set,2003.0,4.41,96.0,256.0
978006054349,0060543493,the girls of lighthouse lane 3,Lizabeth's Story,thomas kinkadeerika tamar,juvenile fiction,during a scarlet fever outbreak in 1906 thirteenyearold lizabeth must decide whether it is more important to be strawberry queen or to be at the bedside of her younger sister who is ill,2005.0,3.96,192.0,24.0
978006054584,0060545844,the bradbury chronicles,The Life of Ray Bradbury,sam weller,biography  autobiography,accomplished journalist sam weller met the ray bradbury while writing a cover story for the chicago tribune magazine and spent hundreds of hours interviewing bradbury his editors family members and longtime friends with unprecedented access to private archives he uncovered neverbeforepublished letters documents and photographs that help tell the story of this literary genius and his remarkable creative journey the result is a richly textured detailed biography that illuminates the origins and accomplishments of bradburys fascinating mind,2006.0,4.22,384.0,352.0
978006054657,0060546573,three rotten eggs,,gregory maguire,juvenile fiction,the students of miss earths class in rural vermont experience an eventful spring when they become involved with a bullying new student a competitive egg hunt and genetically altered chicks,2005.0,3.74,240.0,76.0
978006054828,0060548282,the wicked day,Book Four of the Arthurian Saga,mary stewart,fiction,born of an incestuous relationship between king arthur and his half sister the evil sorceress morgause the bastard mordred is reared in secrecy called to camelot by events he cannot deny mordred becomes arthurs most trusted counselor  a fateful act that leads to the wicked day of destiny when father and son must face each other in battle,2003.0,4.09,417.0,9875.0
978006055473,0060554738,the game,Penetrating the Secret Society of Pickup Artists,neil strauss,biography  autobiography,hidden somewhere in nearly every major city in the world is an underground seduction lair and in these lairs men trade the most devastatingly effective techniques ever invented to charm women this is not fiction these men really exist they live together in houses known as projects and neil strauss the bestselling author spent two years living among them using the pseudonym style to protect his reallife identity the result is one of the most explosive and controversial books of the year  guaranteed to change the lives of men and transform the way women understand the opposite sex forever on his journey from afc average frustrated chump to pua pickup artist to pug pickup guru strauss not only shares scores of original seduction techniques but also has unforgettable encounters with the likes of tom cruise britney spears paris hilton heidi fleiss and courtney love and then things really start to get strange  and passions lead to betrayals lead to violence the game is the story of one mans transformation from frog to prince  to prisoner in the most unforgettable book of the year,2005.0,3.74,464.0,19305.0
978006055650,0060556501,the lion the witch and the wardrobe picture book edition,,c s lewis,juvenile fiction,narnia a magical land full of wonder and excitement a place where you will meet aslan the bravest of lions and a beautiful but wicked witch there are lots of other fabulous creatures too giants and dwarfs and animals that talk it all begins when four children  peter susan edmund and lucy  discover a strange old wardrobe stepping inside they find that its stranger still because behind all the fur coats there is a wondrous land of trees and mountains all glistening with snow the white witch has spread an icy winter everywhere only aslan can defeat her and reverse her wicked spell the children must find the lion before it is too late if they fail the witch will make them her prisoners forever in the fifty years since it was written the lion the witch and the wardrobe has become one of the great classics of childrens literature now younger children can share the magical experience stepping into a world of enchantment that will forever lure them back,2004.0,4.19,48.0,5012.0
978006055652,0060556528,gold,The Final Science Fiction Collection,isaac asimov,fiction,gold is the final and crowning achievement of the fiftyyear career of science fictions transcendent genius the worldfamous author who defined the field of science fiction for its practitioners its millions of readers and the world at large the first section contains stories that range from the humorous to the profound at the heart of which is the title story gold a moving and revealing drama about a writer who gambles everything on a chance at immortality a gamble asimov himself made  and won the second section contains the grand masters ruminations on the sf genre itself and the final section is comprised of asimovs thoughts on the craft and writing of science fiction,2003.0,3.99,416.0,2393.0
978006056478,0060564784,the kindness of strangers,,katrina kittle,fiction,a young widow raising two boys sarah laden is struggling to keep her family together but when a shocking revelation rips apart the family of her closest friend sarah finds herself welcoming yet another troubled young boy into her already tumultuous life jordan a quiet reclusive elementary school classmate of sarahs son danny has survived a terrible ordeal by agreeing to become jordans foster mother sarah will be forced to question the things she has long believed and as the delicate threads that bind their family begin to unravel all the ladens will have to face difficult truths about themselves and one anotherand discover the power of love necessary to forgive and to heal,2007.0,4.01,400.0,11432.0
978006056610,0060566108,built to last,Successful Habits of Visionary Companies,jim collinsjerry i porras,business  economics,this is not a book about charismatic visionary leaders it is not about visionary product concepts or visionary products or visionary market insights nor is it about just having a corporate vision this is a book about something far more important enduring and substantial this is a book about visionary companies so write jim collins and jerry porras in this groundbreaking book that shatters myths provides new insights and gives practical guidance to those who would like to build landmark companies that stand the test of time drawing upon a sixyear research project at the stanford university graduate school of business collins and porras took eighteen truly exceptional and longlasting companies  they have an average age of nearly one hundred years and have outperformed the general stock market by a factor of fifteen since 1926  and studied each company in direct comparison to one of its top competitors they examined the companies from their very beginnings to the present day  as startups as midsize companies and as large corporations throughout the authors asked what makes the truly exceptional companies different from other companies what separates general electric 3m merck walmart hewlettpackard walt disney and philip morris from their rivals how for example did procter  gamble which began life substantially behind rival colgate eventually prevail as the premier institution in its industry how was motorola able to move from a humble battery repair business into integrated circuits and cellular communications while zenith never became dominant in anything other than tvs how did boeing unseat mcdonnell douglas as the worlds best commercial aircraft company  what did boeing have that mcdonnell douglas lacked by answering such questions collins and porras go beyond the incessant barrage of management buzzwords and fads of the day to discover timeless qualities that have consistently distinguished outstanding companies they also provide inspiration to all executives and entrepreneurs by destroying the false but widely accepted idea that only charismatic visionary leaders can build visionary companies filled with hundreds of specific examples and organized into a coherent framework of practical concepts that can be applied by managers and entrepreneurs at all levels built to last provides a master blueprint for building organizations that will prosper long into the twentyfirst century and beyond,2004.0,3.98,368.0,49529.0
978006056668,006056668X,fluke,"Or, I Know Why the Winged Whale Sings",christopher moore,fiction,just why do humpback whales sing thats the question that has marine behavioral biologist nate quinn and his crew poking charting recording and photographing very big wet gray marine mammals until the extraordinary day when a whale lifts its tail into the air to display a cryptic message spelled out in foothigh letters bite me trouble is nates beginning to wonder if he hasnt spent just a little too much time in the sun cause no one else on his team saw a thing  not his longtime partner clay demodocus not their saucy young research assistant not even the spliffpuffing whiteboy rastaman kona n preston applebaum but later when a roll of film returns from the lab missing the crucial tail shot  and his research facility is trashed  nate realizes something very fishy indeed is going on by turns witty irreverent fascinating puzzling and surprising fluke is christopher moore at his outrageous best,2004.0,3.75,321.0,34773.0
978006056723,0060567236,lord of light,,roger zelazny,fiction,earth is long since dead on a colony planet a band of men has gained control of technology made themselves immortal and now rules their world as the gods of the hindu pantheon only one dares oppose them he who was once siddhartha and is now mahasamatman binder of demons lord of light,2004.0,4.1,296.0,22530.0
978006057058,006057058X,the perennial philosophy,,aldous huxley,philosophy,the perennial philosophy is defined by its author as the metaphysic that recognizes a divine reality substantial to the world of things and lives and minds with great wit and stunning intellect aldous huxley examines the spiritual beliefs of various religious traditions and explains them in terms that are personally meaningful,2004.0,4.23,336.0,2959.0
978006057200,0060572000,a crack in the edge of the world,America and the Great California Earthquake of 1906,simon winchester,history,unleashed by ancient geologic forces a magnitude 825 earthquake rocked san francisco in the early hours of april 18 1906 less than a minute later the city lay in ruins bestselling author simon winchester brings his inimitable storytelling abilities to this extraordinary event exploring the legendary earthquake and fires that spread horror across san francisco and northern california in 1906 as well as its startling impact on american history and just as important what science has recently revealed about the fascinating subterranean processes that produced itand almost certainly will cause it to strike again,2006.0,3.78,419.0,5242.0
978006057296,0060572965,dead witch walking,,kim harrison,fiction,all the creatures of the night gather in the hollows of cincinnati to hide to prowl to party  and to feed vampires rule the darkness in a predatoreatpredator world rife with dangers beyond imagining  and its rachel morgans job to keep that world civilized a bounty hunter and witch with serious sex appeal and an attitude shell bring em back alive dead  or undead,2004.0,4.04,416.0,97105.0
978006057297,0060572973,the good the bad and the undead,,kim harrison,fiction,its a tough life for witch rachel morgan sexy independent bounty hunter prowling the darkest shadows of downtown cincinnati for criminal creatures of the night she can handle the leatherclad vamps and even tangle with a cunning demon or two but a serial killer who feeds on the experts in the most dangerous kind of black magic is definitely pressing the limits confronting an ancient implacable evil is more than just childs play  and this time rachel will be lucky to escape with her very soul,2005.0,4.26,453.0,53112.0
978006057421,0060574216,men are from mars women are from venus,The Classic Guide to Understanding the Opposite Sex,john gray,family  relationships,rediscover the most famous relationship book ever published once upon a time martians and venusians met fell in love and had happy relationships together because they respected and accepted their differences then they came to earth and amnesia set in they forgot they were from different planets based on years of successful counseling of couples and individuals men are from mars women are from venus has helped millions of couples transform their relationships now viewed as a modern classic this phenomenal book has helped men and women realize how different they can be in their communication styles their emotional needs and their modes of behaviorand offers the secrets of communicating without conflicts allowing couples to give intimacy every chance to grow,2004.0,3.54,368.0,126108.0
978006057581,0060575816,sabriel adult,,garth nix,fiction,sabriel daughter of the necromancer abhorsen must journey into the mysterious and magical old kingdom to rescue her father from the land of the dead,2004.0,4.17,311.0,1296.0
978006057704,0060577045,slouching toward nirvana,New Poems,charles bukowski,poetry,in this place there are the dead the deadly and the dying there is the cross the builders of the cross and the burners of the cross the pattern of my life forms like a cheap shadow on the wall before me my love what is left of it now must crawl to wherever it can crawl the strongest know that death is final and the happiest are those gifted with the shortest journey,2006.0,3.99,288.0,1901.0
978006057786,006057786X,bad childhoodgood life,How to Blossom and Thrive in Spite of an Unhappy Childhood,laura schlessinger,selfhelp,exploring how the past influences the present the author discusses how to understand each individuals unique coping style and how to tap into the extraordinary quality of human spirit that will create the transition from victim to victor,2006.0,3.92,272.0,502.0
978006057811,0060578114,cat cross their graves,A Joe Grey Mystery,shirley rousseau murphy,fiction,the beautiful serene village of molena point california is the type of place where people go to get away from the harsher realities of lifewhich is what attracted classic film star patty rose to buy the village inn and settle down to enjoy her golden years but as the town gathers to celebrate and honor the beautiful aging actress with a festival of her old films patty is brutally murderedto the horror and shock of this peaceful burg a gentle tortoiseshell cat kit has been enjoying a retreat to the animalloving actresss inn where shes spending time with her feline friends dulcie and the slick tomcat sleuth joe grey but her relaxation is cut short when she hears the gunshots that end pattys life and sees her dead body sprawled on the inns front steps she glimpses the killer racing into the parking garage and soon follows his trail joe and dulcie must now follow the nave kits trail and keep her from getting into serious trouble to complicate matters joe discovers that dulcie has been hiding a runaway childone of the lucky humans that these special cats choose to talk towho has now been kidnapped likely by the same man who killed their famous friend in the end the little girls abduction leads them to pattys killer and the feline friends are all unitedbut they all must mourn a departed friend as they stand beside the newly laid grave of patty rose,2005.0,4.3,385.0,481.0
978006057812,0060578122,cat breaking free,A Joe Grey Mystery,shirley rousseau murphy,fiction,the fur starts flying when a gang from la comes up to tranquil molena point california and begins breaking into the villages quaint shops the fur of joe grey feline pi that is after all molena point has been his home since he was a kitten eating scraps from the garbage behind the local delicatessen and he doesnt take well to marauding strangers joe even wonders whether the blonde whos moved into next to his human companion clyde could be a part of the gangshes been acting pretty suspicious lately but when the strangers start trapping and caging feral catsspeaking cats like joe and his girlfriend dulcieit proves too much for the intrepid fourfooted detective and when one of the gang is murdered and a second mysterious death comes to light he has no choice but to try to stop the crimes joe dulcie and their tattercoat friend kit who used to be a stray herself are deep into the investigation when they are able to release the three trapped cats but as kit leads them away to freedom will she herself return to that wild life,2006.0,4.2,375.0,204.0
978006058033,006058033X,slider,A Novel,patrick robinson,sports  recreation,each summer on the fields of glorious cape marlin off the new england coast the nations best college players gather to play the most important baseball of their lives jack faber is a young hotshot pitcher with an unhittable slider and a rocket for a fastball he plays for the fabled seapuit seawolves and dreams of making the big show but a new coach the scowling bruno riazzi a former pro catcher resents the kids celebrity status and decides to knock him down a peg or two and he stops at nothing to make it happen humiliated jack loses his lifelong art and with it his passion for the game as well as mysteriously his ability to throw a devastated jack faber is released from the st charles college roster but the seawolves coaches wont give up on him they bring jack back to cape marlin determined to help him rediscover his lost talent he finds himself again under the summer sun coaches and old friends standing by him but in the end it will be up to jack based on a true story slider celebrates the national pastime a game that can break grown mens hearts  as well as make them whole again,2004.0,4.18,416.0,64.0
978006058250,0060582502,the black dahlia files,"The Mob, the Mogul, and the Murder That Transfixed Los Angeles",don wolfe,true crime,in 1946 elizabeth short traveled to hollywood to become famous and see her name up in lights instead the darkhaired beauty became immortalized in the headlines as the black dahlia when her nude and bisected body was discovered in the weeds of a vacant lot despite the efforts of more than four hundred police officers and homicide investigators the heinous crime was never solved now after endless speculation and false claims bestselling author donald h wolfe discovers startling new evidenceburied in the files of the los angeles district attorneys office for more than half a century with the aid of archival photos news clippings and investigative reports wolfe documents the riveting untold story that names the brutal murdererthe notorious mafia leader benjamin bugsy siegeland the motivean unwanted pregnancy resulting from shorts involvement with the most powerful figure in los angeles norman chandler but wolfe goes even further to unravel the largescale coverup behind the case wolfes extensive research based on the evidence he discovered in the recently opened lada files makes the black dahlia files the authoritative work on the murder that has drawn endless scrutiny but remained unsolveduntil now,2006.0,3.84,448.0,600.0
978006058402,0060584025,metro girl,,janet evanovich,fiction,alexandra barney barnaby roars onto the miami beach scene in hot pursuit of her missing baby brother wild bill leave it to the maverick of the family to get barney involved with highspeed car chases a search for sunken treasure and sam hooker a nascar driver whos good at revving a womans engine engaged in a deadly race bill has borrowed hookers sixtyfivefoot hatteras and sailed off into the sunsetjust when hooker has plans for the boat hooker figures hell attach himself to barney and maybe run into scumbag bill and better yet maybe hell get lucky in love with bills sweetie pie sister the pedal will have to go to metal if barney and hooker want to be the first to cross the finish line save bill hookers boatand maybe the world,2005.0,3.62,374.0,28414.0
978006058403,0060584033,motor mouth,,janet evanovich,fiction,alexandra barney barnaby returns to take on a whole new set of bad guys florida heat colorful and dangerous characters and highstakes adventure all the while romancing gorgeous race car driver sam hooker in an actionpacked sequel to metro girl 1000000 first printing,2006.0,3.67,312.0,21885.0
978006058475,0060584750,mystic river,,dennis lehane,fiction,when they were children sean devine jimmy marcus and dave boyle were friends but then a strange car pulled up to their street one boy got into the car two did not and something terrible happened  something that ended their friendship and changed all three boys forever twentyfive years later sean is a homicide detective jimmy is an excon who owns a corner store and dave is trying to hold his marriage together and keep his demons at bay  demons that urge him to do terrible things when jimmys daughter is found murdered sean is assigned to the case his investigation brings him into conflict with jimmy who finds his old criminal impulses tempt him to solve the crime with brutal justice and then there is dave who came home the night jimmys daughter died covered in someone elses blood a tense and unnerving psychological thriller mystic river is also an epic novel of love and loyalty faith and family in which people irrevocably marked by the past find themselves on a collision course with the darkest truths of their own hidden selves,2003.0,4.18,416.0,105317.0
978006058654,0060586540,great short works of herman melville,,herman melville,fiction,billy budd sailor and bartleby the scrivener are two of the most revered shorter works of fiction in history here they are collected along with 19 other stories in a beautifully redesigned collection that represents the best short work of an american masteras warner berthoff writes in his introduction to this volume it is hard to think of a major novelist or storyteller who is not also a firstrate entertainer    a master according to choice of high comedy of one or another robust species of expressive humour or of some special variety of the preposterous the grotesque the absurd and melville certainly is no exception a kind of vigorous supervisory humour is his natural idiom as a writer and one particular attraction of his shorter work is the fresh further display it offers of this prime element in his literary character,2004.0,4.02,512.0,401.0
978006058703,0060587032,the day i swapped my dad for two goldfish,,neil gaiman,juvenile fiction,ill swap you my dad i said ohoh said my little sister what if you wanted your best friends two goldfish so much that youd swap anything for them even your father what if your mother came home and found out what youd done,2006.0,4.03,64.0,280.0
978006058928,0060589280,eleven minutes,A Novel,paulo coelho,fiction,eleven minutes is the story of maria a young girl from a brazilian village whose first innocent brushes with love leave her heartbroken at a tender age she becomes convinced that she will never find true love instead believing that love is a terrible thing that will make you suffer    a chance meeting in rio takes her to geneva where she dreams of finding fame and fortune marias despairing view of love is put to the test when she meets a handsome young painter in this odyssey of selfdiscovery maria has to choose between pursuing a path of darkness  sexual pleasure for its own sake  or risking everything to find her own inner light and the possibility of sacred sex sex in the context of love this ps edition features an extra 16 pages of insights into the book including author interviews recommended reading and more,2005.0,3.69,273.0,114826.0
978006058946,0060589469,zen and the art of motorcycle maintenance,An Inquiry Into Values,robert m pirsig,psychology,one of the most important and influential books written in the past halfcentury robert m pirsigs zen and the art of motorcycle maintenance is a powerful moving and penetrating examination of how we live    and a breathtaking meditation on how to live better here is the book that transformed a generation an unforgettable narration of a summer motorcycle trip across americas northwest undertaken by a father and his young son a story of love and fear  of growth discovery and acceptance  that becomes a profound personal and philosophical odyssey into lifes fundamental questions this uniquely exhilarating modern classic is both touching and transcendent resonant with the myriad confusions of existence    and the small essential triumphs that propel us forward,2006.0,3.77,540.0,157734.0
978006059015,0060590157,ulysses s grant,The Unlikely Hero,michael korda,biography  autobiography,one of the first two volumes in harpers eminent lives series korda brings his acclaimed storytelling talents to the life of ulysses s grant  a man who managed to end the civil war on a note of grace serve two terms as president write one of the most successful military memoirs in american literature and is today remembered as a brilliant general but a failed president ulysses s grant was the first officer since george washington to become a fourstar general in the united states army and the only president between andrew jackson and woodrow wilson to serve eight consecutive years in the white house in this succinct and vivid biography michael korda considers grants character and reconciles the conflicting evaluations of his leadership abilities grants life played out as a true horatio alger story despite his humble background as the son of a tanner in ohio his lack of early success in the army and assorted failed business ventures his unwavering determination propelled him through the ranks of military leadership and into the presidency but while the generals tenacity and steadfastness contributed to his success on the battlefield it both aided and crippled his effectiveness in the white house assessing grant both within the context of his time and in contrast to more recent american leaders korda casts a benevolent eye on grants presidency while at the same time conceding his weaknesses he suggests that though the generals second term ended in financial and political scandals the fact remains that for eight years grant exerted a calming influence on a country that had only just emerged from a horrendous civil war ulysses s grant is an evenhanded and stirring portrait of a man who guided america through a pivotal juncture in its history,2004.0,3.88,176.0,410.0
978006059027,0060590270,a dirty job,A Novel,christopher moore,fiction,charlie asher is a pretty normal guy a little hapless somewhat neurotic sort of a hypochondriac hes whats known as a beta male the kind of fellow who makes his way through life by being careful and constant  you know the one whos always there to pick up the pieces when the girl gets dumped by the biggertallerstronger alpha male but charlies been lucky he owns a building in the heart of san francisco and runs a secondhand store with the help of a couple of loyal if marginally insane employees hes married to a bright and pretty woman who actually loves him for his normalcy and she rachel is about to have their first child yes charlies doing okay for a beta that is until the day his daughter sophie is born just as charlie  exhausted from the birth  turns to go home he sees a strange man in mintgreen golf wear at rachels hospital bedside a man who claims that no one should be able to see him but see him charlie does and from here on out things get really weird    people start dropping dead around him giant ravens perch on his building and it seems that everywhere he goes a dark presence whispers to him from under the streets strange names start appearing on his nightstand notepad and before he knows it those people end up dead too yup it seems that charlie asher has been recruited for a new job an unpleasant but utterly necessary one death its a dirty job but hey somebodys gotta do it christopher moore the man whose lamb served up jesus missing years with the funny parts left in and whose fluke found the deep humor in whale researchers lives now shines his comic light on the undiscovered country we all eventually explore  death and dying  and the results are hilarious heartwarming and a hell of a lot of fun,2006.0,4.07,387.0,88016.0
